movieId,title
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
4,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
8,Tom and Huck (1995)
9,Sudden Death (1995)
10,GoldenEye (1995)
11,The American President (1995)
12,Dracula: Dead and Loving It (1995)
13,Balto (1995)
14,Nixon (1995)
15,Cutthroat Island (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995)
21,Get Shorty (1995)
22,Copycat (1995)
23,Assassins (1995)
24,Powder (1995)
25,Leaving Las Vegas (1995)
26,Othello (1995)
27,Now and Then (1995)
28,Persuasion (1995)
29,The City of Lost Children (1995)
30,Shanghai Triad (1995)
31,Dangerous Minds (1995)
32,Twelve Monkeys (1995)
33,Wings of Courage (1996)
34,Babe (1995)
35,Carrington (1995)
36,Dead Man Walking (1995)
37,Across the Sea of Time (1995)
38,It Takes Two (1995)
39,Clueless (1995)
40,"Cry, the Beloved Country (1995)"
41,Richard III (1995)
42,Dead Presidents (1995)
43,Restoration (1995)
44,Mortal Kombat (1995)
45,To Die For (1995)
46,How To Make An American Quilt (1995)
47,Se7en (1995)
48,Pocahontas (1995)
49,When Night Is Falling (1995)
50,The Usual Suspects (1995)
51,Guardian Angel (1994)
52,Mighty Aphrodite (1995)
53,Lamerica (1994)
54,The Big Green (1995)
55,Georgia (1995)
56,Kids of the Round Table (1997)
57,Home for the Holidays (1995)
58,The Postman (1994)
59,The Confessional (1995)
60,The Indian in the Cupboard (1995)
61,Eye for an Eye (1996)
62,Mr. Holland's Opus (1995)
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,Two If by Sea (1996)
65,Bio-Dome (1996)
66,Lawnmower Man 2: Beyond Cyberspace (1996)
67,Two Bits (1995)
68,French Twist (1995)
69,Friday (1995)
70,From Dusk Till Dawn (1996)
71,Fair Game (1995)
72,Kicking and Screaming (1995)
73,Les Miserables (1995)
74,Bed of Roses (1996)
75,Big Bully (1996)
76,Screamers (1995)
77,Nico Icon (1995)
78,The Crossing Guard (1995)
79,The Juror (1996)
80,The White Balloon (1995)
81,Things to Do in Denver When You're Dead (1995)
82,Antonia's Line (1995)
83,Once Upon a Time... When We Were Colored (1996)
84,Last Summer in the Hamptons (1995)
85,Angels and Insects (1995)
86,White Squall (1996)
87,Dunston Checks In (1996)
88,Black Sheep (1996)
89,Nick of Time (1995)
90,The Journey of August King (1995)
92,Mary Reilly (1996)
93,Vampire in Brooklyn (1995)
94,Beautiful Girls (1996)
95,Broken Arrow (1996)
96,A Midwinter's Tale (1995)
97,La Haine (1995)
98,Shopping (1994)
99,Heidi Fleiss: Hollywood Madam (1995)
100,City Hall (1996)
101,Bottle Rocket (1996)
102,Mr. Wrong (1996)
103,Unforgettable (1996)
104,Happy Gilmore (1996)
105,The Bridges of Madison County (1995)
106,Nobody Loves Me (1994)
107,Muppet Treasure Island (1996)
108,Catwalk (1995)
109,Headless Body in Topless Bar (1995)
110,Braveheart (1995)
111,Taxi Driver (1976)
112,Rumble in the Bronx (1995)
113,Before and After (1996)
114,Margaret's Museum (1995)
115,Happiness Is in the Field (1995)
116,Anne Frank Remembered (1995)
117,The Young Poisoner's Handbook (1995)
118,If Lucy Fell (1996)
119,Steal Big Steal Little (1995)
120,Race the Sun (1996)
121,The Boys of St. Vincent (1992)
122,Boomerang (1992)
123,Chungking Express (1994)
124,The Star Maker (1995)
125,Flirting with Disaster (1996)
126,The Neverending Story III: Escape from Fantasia (1994)
127,The Silences of the Palace (1994)
128,Jupiter's Wife (1995)
129,Pie in the Sky (1996)
130,Angela (1995)
131,Frankie Starlight (1995)
132,Jade (1995)
133,Nueba Yol (1995)
134,Sonic Outlaws (1995)
135,Down Periscope (1996)
136,From the Journals of Jean Seberg (1995)
137,Man of the Year (1995)
138,The Neon Bible (1995)
139,Target (1995)
140,Up Close & Personal (1996)
141,The Birdcage (1996)
143,Virgin Mary (1995)
144,The Brothers McMullen (1995)
145,Bad Boys (1995)
146,The Amazing Panda Adventure (1995)
147,The Basketball Diaries (1995)
148,An Awfully Big Adventure (1995)
149,Amateur (1994)
150,Apollo 13 (1995)
151,Rob Roy (1995)
152,The Addiction (1995)
153,Batman Forever (1995)
154,Belle de Jour (1967)
155,Beyond Rangoon (1995)
156,Blue in the Face (1995)
157,Canadian Bacon (1995)
158,Casper (1995)
159,Clockers (1995)
160,Congo (1995)
161,Crimson Tide (1995)
162,Crumb (1994)
163,Desperado (1995)
164,Devil in a Blue Dress (1995)
165,Die Hard: With a Vengeance (1995)
166,The Doom Generation (1995)
167,Feast of July (1995)
168,First Knight (1995)
169,Free Willy 2 - The Adventure Home (1995)
170,Hackers (1995)
171,Jeffrey (1995)
